x,y,z,speed
2.611202354063245821e+02,-3.643147318113594224e+02,2.416269966756304753e-03,1.490377326961124282e+01
2.616202329995670084e+02,-3.643162791888696574e+02,2.305249338077058202e-03,1.498142436286613055e+01
2.621202316675759789e+02,-3.643174272424820970e+02,2.192558264929196036e-03,1.505835654273011670e+01
2.626202311268291965e+02,-3.643181518809681165e+02,2.078981980045148045e-03,1.513436892118252786e+01
2.631202310326018505e+02,-3.643184290136122740e+02,1.965305735469177837e-03,1.520959678295570860e+01
2.636202309754864359e+02,-3.643182345510474534e+02,1.852314800186511757e-03,1.528405598522500775e+01
2.641202304779152996e+02,-3.643175444057736172e+02,1.740794453724377449e-03,1.535776502376803876e+01
2.646202289906868828e+02,-3.643163344927437493e+02,1.631529978116439458e-03,1.543073779815720670e+01
2.651202258894953161e+02,-3.643145807300245451e+02,1.525306648116689151e-03,1.550246812820147824e+01
2.656202204714639379e+02,-3.643122590395314546e+02,1.422909719547628057e-03,1.557233570066092732e+01
2.661202119516847233e+02,-3.643093453478430206e+02,1.325124415668873460e-03,1.563928036930904852e+01
2.666201994597634553e+02,-3.643058155870989481e+02,1.232735911452131862e-03,1.570347723160923792e+01
2.671201820363721708e+02,-3.643016456959848028e+02,1.146529315648638818e-03,1.577340288830384019e+01
2.676201586298099642e+02,-3.642968116208040215e+02,1.067289650536057876e-03,1.584268586342321683e+01
2.681201280925732249e+02,-3.642912893166468962e+02,9.958018292317470047e-04,1.591128729381882145e+01
2.686200891778805158e+02,-3.642850547443740652e+02,9.328506846142559528e-04,1.597916964408561746e+01
2.691200405363847494e+02,-3.642780838822412193e+02,8.792208185768437883e-04,1.604636385748691296e+01
2.696199807127046597e+02,-3.642703527199704467e+02,8.356966546301089396e-04,1.611290765388170954e+01
2.701199081420494394e+02,-3.642618372610128290e+02,8.030623990939606818e-04,1.617874668852972064e+01
2.706198211468661725e+02,-3.642525135249025539e+02,7.821019965663773789e-04,1.624328989095853615e+01
2.711197176290459083e+02,-3.642423428853188625e+02,7.733234245164041483e-04,1.630418624850161180e+01
2.716195939823609251e+02,-3.642312276433267471e+02,7.761243228101416796e-04,1.636514545597298209e+01
2.721194456888753166e+02,-3.642190551749894780e+02,7.896234699691026277e-04,1.642899779573405183e+01
2.726192675136222192e+02,-3.642057127931452669e+02,8.129403898460330112e-04,1.649223824285676443e+01
2.731190534272222976e+02,-3.641910877380389024e+02,8.451951200478492396e-04,1.655490406422314820e+01
2.736187965282329628e+02,-3.641750671716019951e+02,8.855079906302774657e-04,1.661693977309030856e+01
2.741184889652505490e+02,-3.641575381758435697e+02,9.329994174511298732e-04,1.667829648757789940e+01
2.746181218588073421e+02,-3.641383877557212259e+02,9.867897129359310630e-04,1.673848337027094146e+01
2.751176852231287171e+02,-3.641175028468724122e+02,1.045998917044002824e-03,1.679586368593730228e+01
2.756171678878412763e+02,-3.640947703285844455e+02,1.109746651261236342e-03,1.685046886232747809e+01
2.761165574197506203e+02,-3.640700770423848098e+02,1.177151998482903542e-03,1.690245233117992996e+01
2.766158400448363182e+02,-3.640433098166311083e+02,1.247333411687204284e-03,1.695083781096394659e+01
2.771150005706446109e+02,-3.640143554974812332e+02,1.319408654332524140e-03,1.699737310955126901e+01
2.776140223008738417e+02,-3.639831008571408120e+02,1.392494782290793973e-03,1.705516930183806679e+01
2.781128869802832924e+02,-3.639494329853734484e+02,1.465708032333953902e-03,1.711355057365156895e+01
2.786115747028751457e+02,-3.639132390468856784e+02,1.538164080928611970e-03,1.717140917961713242e+01
