x,y,z,speed
-2.624381299924647948e+01,2.444430915417108707e+01,1.917844786052287859e-03,1.527764829061466934e+01
-2.574381301984664816e+01,2.444416571775285973e+01,1.920234901329919384e-03,1.535141535998209861e+01
-2.524381303583325220e+01,2.444403937104424784e+01,1.922352850730893068e-03,1.542444484610298083e+01
-2.474381304802209769e+01,2.444392905886857648e+01,1.924208148068912117e-03,1.549675622031478639e+01
-2.424381305712515200e+01,2.444383374039800927e+01,1.925810048949698700e-03,1.556835723100926039e+01
-2.374381306376717404e+01,2.444375233452984375e+01,1.927168492191079496e-03,1.563924669339919049e+01
-2.324381306847924122e+01,2.444368378321670932e+01,1.928293038800742544e-03,1.570942172197970876e+01
-2.274381307171039168e+01,2.444362703329243303e+01,1.929193151522784607e-03,1.577895279346454593e+01
-2.224381307383526973e+01,2.444358103169118834e+01,1.929878265965996077e-03,1.584781938255505906e+01
-2.174381307516184592e+01,2.444354470656108802e+01,1.930358204153006206e-03,1.591602264801781530e+01
-2.124381307593501944e+01,2.444351699957634594e+01,1.930642530717151424e-03,1.598362710919214180e+01
-2.074381307634487470e+01,2.444349685718049159e+01,1.930740679960466204e-03,1.605055033416260457e+01
-2.024381307653387552e+01,2.444348321920517009e+01,1.930662219136683498e-03,1.611688418557249136e+01
-1.974381307660311435e+01,2.444347502061435407e+01,1.930416876491327987e-03,1.618262417891588711e+01
-1.924381307661893459e+01,2.444347120290471054e+01,1.930014219370989768e-03,1.624773533025320305e+01
-1.874381307661982277e+01,2.444347070983527814e+01,1.929463674959120681e-03,1.630491616815197986e+01
-1.824381307662320495e+01,2.444347247904479303e+01,1.928774896519691020e-03,1.635926842861913499e+01
-1.774381307663206542e+01,2.444347544999701682e+01,1.927957540124563673e-03,1.641362068908629368e+01
-1.724381307664177854e+01,2.444347856411183884e+01,1.927021174922496742e-03,1.646797294955344881e+01
-1.674381307664678786e+01,2.444348076022689042e+01,1.925975241442858454e-03,1.652232521002060395e+01
-1.624381307664737406e+01,2.444348097857059088e+01,1.924829435156785468e-03,1.657667747048776263e+01
-1.574381307665638552e+01,2.444347816085995362e+01,1.923593360596400747e-03,1.663102973095491777e+01
-1.524381307670593877e+01,2.444347124853876352e+01,1.922276587802328185e-03,1.668538199142207290e+01
-1.474381307685447062e+01,2.444345917329458828e+01,1.920888590700327130e-03,1.673973425188922803e+01
-1.424381307719286127e+01,2.444344088269950532e+01,1.919439064105760845e-03,1.679408651235638672e+01
-1.374381307785152373e+01,2.444341531849763527e+01,1.917937581120392242e-03,1.684843877282354185e+01
-1.324381307900718596e+01,2.444338142004599845e+01,1.916393704053380659e-03,1.690279103329069699e+01
-1.274381308089063403e+01,2.444333811624648689e+01,1.914816983448087680e-03,1.695714329375785212e+01
-1.224381308379051170e+01,2.444328436020475337e+01,1.913217047510048889e-03,1.701149555422501081e+01
-1.174381308806243851e+01,2.444321909364841616e+01,1.911603465653688785e-03,1.706584781469216594e+01
-1.124381309413620933e+01,2.444314125129792004e+01,1.909985809864184507e-03,1.712020007515932107e+01
-1.074381310252278077e+01,2.444304976486117909e+01,1.908373672906386528e-03,1.717455233562647976e+01
-1.024381311381540272e+01,2.444294359001846928e+01,1.906776627672323839e-03,1.722890459609363489e+01
-9.743813128702422333e+00,2.444282166879839480e+01,1.905204241966379193e-03,1.728325685656079003e+01
-9.243813147976327471e+00,2.444268292882425087e+01,1.903666118656333495e-03,1.733760911702794516e+01
-8.743813172534267153e+00,2.444252630979487861e+01,1.902171847853885217e-03,1.739196137749510385e+01
-8.243813203381266774e+00,2.444235076754084446e+01,1.900730968098693439e-03,1.744631363796225898e+01
-7.743813241645776557e+00,2.444215524449281673e+01,1.899353044673040983e-03,1.750066589842941411e+01
-7.243813288594131983e+00,2.444193865853965164e+01,1.898047733790345689e-03,1.755501815889657280e+01
-6.743813345612817756e+00,2.444169996289784308e+01,1.896824575627975053e-03,1.760937041936372793e+01
-6.243813414226563552e+00,2.444143811095942453e+01,1.895693096480102280e-03,1.766372267983088307e+01
-5.743813496111116912e+00,2.444115204565848032e+01,1.894662858193137079e-03,1.771807494029803820e+01
-5.243813593120097316e+00,2.444084067228609314e+01,1.893743594491571888e-03,1.777242720076519689e+01
-4.743813707228071053e+00,2.444050296354372520e+01,1.892944745037362453e-03,1.782677946123235202e+01
-4.243813840588793518e+00,2.444013786758230466e+01,1.892275847577674181e-03,1.788113172169950715e+01
-3.743813995535679950e+00,2.443974432372657191e+01,1.891746480904787052e-03,1.793548398216666584e+01
-3.243814174615867962e+00,2.443932123417422630e+01,1.891366418675349392e-03,1.798983624263382097e+01
-2.743814380494979943e+00,2.443886758497545131e+01,1.891145009153757722e-03,1.804418850310097611e+01
-2.243814616063872336e+00,2.443838232018871182e+01,1.891091805978849542e-03,1.809854076356813124e+01
-1.743814884431174272e+00,2.443786436737693180e+01,1.891216454043278703e-03,1.815289302403528993e+01
-1.243815188925077253e+00,2.443731264694410754e+01,1.891528645626510763e-03,1.820724528450244506e+01
-7.438155330199811566e-01,2.443672614067139293e+01,1.892037727949652005e-03,1.826159754496960019e+01
-2.438159204472974961e-01,2.443610379340083583e+01,1.892753248691377010e-03,1.831594980543675533e+01
2.561836447903136915e-01,2.443544451719263222e+01,1.893684950001738162e-03,1.837030206590391401e+01
7.561831584957786623e-01,2.443474725834886030e+01,1.894842378500411449e-03,1.842465432637106915e+01
1.256182616273677111e+00,2.443401099073525629e+01,1.896234910749414150e-03,1.847900658683822428e+01
1.756182013446058399e+00,2.443323466008026656e+01,1.897872087542426534e-03,1.853335884730537941e+01
2.256181344992326476e+00,2.443241715878848552e+01,1.899763782825804022e-03,1.858771110777253810e+01
2.756180605769267711e+00,2.443155746756474400e+01,1.901919326612885571e-03,1.864206336823969323e+01
3.256179790344090108e+00,2.443065454831350181e+01,1.904348158461188550e-03,1.868911712059974306e+01
3.756178892982836359e+00,2.442970734567440161e+01,1.907059824753690918e-03,1.873433741104559402e+01
4.256177907528272186e+00,2.442871473401711313e+01,1.910064329393663766e-03,1.877955770149144499e+01
4.756176827815599140e+00,2.442767573163136774e+01,1.913370747486844515e-03,1.882477799193729595e+01
5.256175647256579708e+00,2.442658928604346613e+01,1.916988605557386682e-03,1.886991390095942478e+01
5.756174358906990030e+00,2.442545432036406794e+01,1.920927592604874034e-03,1.891422872768905350e+01
6.256172955481782871e+00,2.442426974743393941e+01,1.925197471259444248e-03,1.895827308180060200e+01
6.756171429600430933e+00,2.442303457192536342e+01,1.929807388623596374e-03,1.900201666047658122e+01
7.256169773439288484e+00,2.442174774253614444e+01,1.934766861771955752e-03,1.904504882961260748e+01
7.756167978705276411e+00,2.442040815530387832e+01,1.940085768491775671e-03,1.908491874339198802e+01
8.256166036938948238e+00,2.441901477279827404e+01,1.945773536197647514e-03,1.911791296524943817e+01
8.756163939415941400e+00,2.441756658067112440e+01,1.951839428967347021e-03,1.913765837904632860e+01
9.256161676973256647e+00,2.441606252889667417e+01,1.958292953482981304e-03,1.914246021804585141e+01
9.756159239819012896e+00,2.441450148029599632e+01,1.965144227566000164e-03,1.913011149958103729e+01
1.025615661829596270e+01,2.441288245961393955e+01,1.972402239417429728e-03,1.909812527576249508e+01
1.075615380219778672e+01,2.441120442749184960e+01,1.980076420031779208e-03,1.904573013703246076e+01
1.125615078083587761e+01,2.440946631182989179e+01,1.988176431787702734e-03,1.897773849697501092e+01
1.175614754300497289e+01,2.440766700580796922e+01,1.996712188203069328e-03,1.889778228983253783e+01
1.225614407760552638e+01,2.440580553971284417e+01,2.005692624415994930e-03,1.881130217152767159e+01
1.275614037288191405e+01,2.440388086600440687e+01,2.015127226658134339e-03,1.872120543528681935e+01
1.325613641642444840e+01,2.440189187355036182e+01,2.025025941533714017e-03,1.863013850483234535e+01
1.375613219571315327e+01,2.439983752959061647e+01,2.035398152565673097e-03,1.854025081304918032e+01
