x,y,z,speed
3.347731898734159586e+02,-3.484881920175011487e+02,1.826551087620809739e-03,2.144363304440252094e+01
3.351824337194329360e+02,-3.482009312399811165e+02,1.807699041953342561e-03,2.147154094899847365e+01
3.355900679815119361e+02,-3.479113908380355156e+02,1.789023993864606544e-03,2.149944885359442637e+01
3.359961453297554499e+02,-3.476196707746790366e+02,1.770769803831093647e-03,2.152735675819037908e+01
3.364007142342597376e+02,-3.473258622124295130e+02,1.753183467987782813e-03,2.155526466278632824e+01
3.368038303927002630e+02,-3.470300635178380730e+02,1.736510988529131085e-03,2.158356207187073750e+01
3.372055551505324047e+02,-3.467323778554132332e+02,1.720993509618785845e-03,2.161193738237648532e+01
3.376059454339736021e+02,-3.464328996453691047e+02,1.706874726148205736e-03,2.164034095239081879e+01
3.380050590835124353e+02,-3.461317220830117094e+02,1.694398616225218594e-03,2.166871343701036423e+01
3.384029497794458621e+02,-3.458289306257470344e+02,1.683810228893545822e-03,2.169702855364513283e+01
3.387996326931927342e+02,-3.455245586105344273e+02,1.675190574212683057e-03,2.172507360443058388e+01
3.391950825135064633e+02,-3.452185862755827657e+02,1.668426474864105917e-03,2.175194580481739237e+01
3.395892658512969433e+02,-3.449109840824777962e+02,1.663403311692775903e-03,2.177861123876663285e+01
3.399821488491612058e+02,-3.446017227725426437e+02,1.660006372796652601e-03,2.180520006507243735e+01
3.403736929727323286e+02,-3.442907681113831586e+02,1.658125133504870881e-03,2.183178889137824541e+01
3.407638611816348089e+02,-3.439780888084202388e+02,1.657645404673935979e-03,2.185717428038681831e+01
3.411526240672471317e+02,-3.436636639933071251e+02,1.658445473343145640e-03,2.188188931041182883e+01
3.415399458513362561e+02,-3.433474656969663101e+02,1.660410148101233718e-03,2.190593887311898769e+01
3.419257902736870278e+02,-3.430294663169606224e+02,1.663424104890363041e-03,2.192728074717675213e+01
3.423101144062707704e+02,-3.427096312391157085e+02,1.667375153083220382e-03,2.194776112257541811e+01
3.426928810759444559e+02,-3.423879339246228710e+02,1.672146146245473202e-03,2.196690494928621362e+01
3.430740581021267417e+02,-3.420643546834362496e+02,1.677617938167883177e-03,2.197746366679081831e+01
3.434536072901432817e+02,-3.417388675914865530e+02,1.683674652152824169e-03,2.198802238429542655e+01
3.438314899706971346e+02,-3.414114471965569351e+02,1.690200284005911446e-03,2.199858110180003479e+01
3.442076570435183953e+02,-3.410820572223750560e+02,1.697080073078588870e-03,2.200913981930463947e+01
3.445820747016646237e+02,-3.407506800982704931e+02,1.704195405462907535e-03,2.201652908640572193e+01
3.449547064034277355e+02,-3.404172959937264409e+02,1.711429210929667601e-03,2.202699738743081070e+01
3.453255116284778410e+02,-3.400818815955043419e+02,1.718665059424636299e-03,2.204982807294532776e+01
3.456944491475446171e+02,-3.397444138922759862e+02,1.725786418947876811e-03,2.207481450357951402e+01
3.460614627830312315e+02,-3.394048548945052630e+02,1.732674085428355815e-03,2.209962332622584569e+01
3.464265251300167847e+02,-3.390631990016353825e+02,1.739212398449022003e-03,2.212312255102430214e+01
3.467895968160051439e+02,-3.387194284472493564e+02,1.745293919779350531e-03,2.214565753693638328e+01
3.471506628834805497e+02,-3.383735519329339354e+02,1.750890548850954223e-03,2.216791788037982514e+01
3.475097167017510742e+02,-3.380255869150575450e+02,1.756016203493230513e-03,2.218997215085013863e+01
3.478667520053443241e+02,-3.376755510772221101e+02,1.760685534985738550e-03,2.221213855149380123e+01
3.482217786287929471e+02,-3.373234781094319601e+02,1.764916713682825565e-03,2.223459992944146535e+01
3.485747960940357757e+02,-3.369693906134115764e+02,1.768725454527049533e-03,2.225735651745195653e+01
3.489258041491293625e+02,-3.366133110394316077e+02,1.772127480866422930e-03,2.228011310546244772e+01
3.492747926105853367e+02,-3.362552518409279969e+02,1.775136625636703760e-03,2.230323523641521533e+01
3.496217662020691819e+02,-3.358952398265383863e+02,1.777769667534947464e-03,2.232667816017280771e+01
3.499667309365704000e+02,-3.355333024750848381e+02,1.780043438170819106e-03,2.235045128870461895e+01
3.503096874027365288e+02,-3.351694615879382013e+02,1.781973678117670804e-03,2.237438103537286693e+01
3.506506363807811795e+02,-3.348037387960545175e+02,1.783576128752594999e-03,2.239843328467811290e+01
3.509895641188739432e+02,-3.344361420559088742e+02,1.784864353446808435e-03,2.242263185292230077e+01
3.513264855527062878e+02,-3.340667055918226538e+02,1.785856359403125261e-03,2.244645000774790944e+01
