x,y,z,speed
3.655065657728735573e+01,3.053848422845090127e+01,2.505602674004184498e-03,1.264571995857660625e+01
3.676113336231880879e+01,3.099195545803625507e+01,2.475221800985835923e-03,1.236190849386298574e+01
3.694848508399639542e+01,3.145548043171713104e+01,2.454345483856059090e-03,1.208385282077134271e+01
3.711647332421978263e+01,3.192638431756649098e+01,2.440161173749135458e-03,1.182018885439292255e+01
3.726880560794288755e+01,3.240259520119884229e+01,2.429973714954949612e-03,1.156286662343258698e+01
3.740912914171106252e+01,3.288249067820336791e+01,2.421167271337243583e-03,1.133201103014411437e+01
3.754097818247767293e+01,3.336478890119724383e+01,2.411207474514283616e-03,1.111955746310601256e+01
3.766635458444270057e+01,3.384881088855578213e+01,2.398780616018149348e-03,1.091454823346702341e+01
3.778559716811423641e+01,3.433438059736499071e+01,2.383990733456959558e-03,1.072095576696130692e+01
3.789894281401546294e+01,3.482136083382650327e+01,2.367015985059849753e-03,1.055784210427059655e+01
3.800663668722719990e+01,3.530962234139594358e+01,2.348036928522354450e-03,1.042359710437324516e+01
3.810893077049421862e+01,3.579904393589295353e+01,2.327235882985250436e-03,1.029458469350715433e+01
3.820606882901754631e+01,3.628951515758002699e+01,2.304792327298342026e-03,1.020514492370174331e+01
3.829833175217397923e+01,3.678092696866644928e+01,2.280896897957398681e-03,1.011930135147545329e+01
3.838598824013008937e+01,3.727318155112198639e+01,2.255735302307850659e-03,1.006378330551234335e+01
3.846931074895582015e+01,3.776618847483801744e+01,2.229493654202410052e-03,1.002761106060997243e+01
3.854856817953758252e+01,3.825986543349615232e+01,2.202356988803770999e-03,1.007871009475522683e+01
3.862404061455859505e+01,3.875413536448249374e+01,2.174512605245208525e-03,1.012980912890048124e+01
3.869601447322351362e+01,3.924892701494617597e+01,2.146147980008191944e-03,1.018718939362618414e+01
3.876477127688645652e+01,3.974417612370852737e+01,2.117448886871522041e-03,1.030838846069527648e+01
3.883059305864162525e+01,4.023982401175781121e+01,2.088600735651447229e-03,1.045013517701458383e+01
3.889375673710151204e+01,4.073581777701382833e+01,2.059789245963930451e-03,1.059063494500902003e+01
3.895455525935495444e+01,4.123210711962973107e+01,2.031199402566394741e-03,1.073432965163594410e+01
3.901327291058483837e+01,4.172864705854571099e+01,2.003015327177512864e-03,1.087574233705125870e+01
3.907019413889040749e+01,4.222539622970673889e+01,1.975420751070451359e-03,1.100949619988193184e+01
3.912560145318998650e+01,4.272231661626558008e+01,1.948600601287272778e-03,1.113892475318121811e+01
3.917978069237050676e+01,4.321937245781185766e+01,1.922738796269248245e-03,1.126246082566421158e+01
3.923301860010372621e+01,4.371653004828746703e+01,1.898016986077466625e-03,1.139659936568368970e+01
3.928559941313993420e+01,4.421375759683240148e+01,1.874617913763541258e-03,1.152925348801912264e+01
3.933780724593437128e+01,4.471102446433817335e+01,1.852724260476946039e-03,1.165715225119735621e+01
3.938992658211059705e+01,4.520830061943198785e+01,1.832523496728619356e-03,1.178194760073087544e+01
3.944224251180973795e+01,4.570555612064880791e+01,1.814195704446147249e-03,1.190293009302401650e+01
3.949503888539079099e+01,4.620276081616625419e+01,1.797922830708846087e-03,1.201945937029086231e+01
3.954859942664018746e+01,4.669988373626729583e+01,1.783887989305654818e-03,1.213598864755770812e+01
3.960320808807811233e+01,4.719689256358722673e+01,1.772275112399433966e-03,1.225251792482455393e+01
3.965915267955006129e+01,4.769375272341184058e+01,1.763275153342096961e-03,1.236646570298067260e+01
3.971662076145096165e+01,4.819043896305618091e+01,1.756990065884814038e-03,1.247689127296953160e+01
3.977555919034281828e+01,4.868695289590498021e+01,1.753332523508634036e-03,1.258518925957530321e+01
3.983587455409571731e+01,4.918330146759343791e+01,1.752182675630388790e-03,1.269201939965734560e+01
3.989747485312515352e+01,4.967949223044680451e+01,1.753423197665041500e-03,1.279741385771419360e+01
3.996026755471646652e+01,5.017553352386453014e+01,1.756935838769247034e-03,1.289904055500557867e+01
4.002415687327564342e+01,5.067143478329099082e+01,1.762595888847521674e-03,1.300066725229696551e+01
4.008904971159518738e+01,5.116720573831060648e+01,1.770283523887197612e-03,1.310229394958835059e+01
4.015485303864161892e+01,5.166285668215402183e+01,1.779878942420568162e-03,1.320381766343622054e+01
4.022147547492052411e+01,5.215839820450679554e+01,1.791266034247389121e-03,1.330167357361390401e+01
4.028882274324960377e+01,5.265384174900695058e+01,1.804322433447572453e-03,1.339834601057467189e+01
4.035680112399212049e+01,5.314919910476377396e+01,1.818926595323718280e-03,1.349366675673227256e+01
4.042531773379051430e+01,5.364448230977024679e+01,1.834958772436625545e-03,1.358776668971804291e+01
4.049427980247526904e+01,5.413970369409661032e+01,1.852299590667422485e-03,1.367893132052267369e+01
4.056359503245618470e+01,5.463487577623348557e+01,1.870831985486698856e-03,1.374163845208877710e+01
4.063316918194402660e+01,5.513001154931561132e+01,1.890432306986069644e-03,1.380434558365488051e+01
4.070290925517126368e+01,5.562512398192703245e+01,1.910980688155607425e-03,1.386705271522098393e+01
4.077272218131801651e+01,5.612022614842311441e+01,1.932357193136300137e-03,1.392975984678708734e+01
4.084251455659052965e+01,5.661533121197310692e+01,1.954443046926446822e-03,1.397366181976717669e+01
4.091219269352069432e+01,5.711045236378776480e+01,1.977116978892627663e-03,1.398964442137044095e+01
4.098166319300855776e+01,5.760560268847039112e+01,2.000257844454496857e-03,1.396216065494850866e+01
4.105083247219155140e+01,5.810079517661993975e+01,2.023745235296165335e-03,1.391461361833022536e+01
4.111990739573190012e+01,5.859600080406251266e+01,2.047509247286277700e-03,1.382293115229355784e+01
4.119102554316727804e+01,5.909091609265394851e+01,2.071803434827216000e-03,1.367066173404608342e+01
4.126708383415477499e+01,5.958509373374447904e+01,2.097007259695857391e-03,1.349011744588849204e+01
